"TCGA-D5-6932-01A-11D-1926-05",3
"TCGA-G4-6588-01A-11D-1772-05",4
"TCGA-AU-6004-01A-11D-1721-05",4
"TCGA-A6-2682-01A-01D-1407-05",3
"TCGA-SS-A7HO-01A-21D-A36Y-05",3
"TCGA-G4-6307-01A-11D-1721-05",2
"TCGA-G4-6317-01A-11D-1721-05",3
"TCGA-A6-5656-01A-21D-1837-05",1
"TCGA-CA-6719-01A-11D-1837-05",1
"TCGA-AY-6197-01A-11D-1721-05",4
"TCGA-A6-6650-01A-11D-A27A-05",3
"TCGA-F4-6704-01A-11D-1837-05",2
"TCGA-5M-AAT6-01A-11D-A40X-05",2
"TCGA-A6-5667-01A-21D-1721-05",2
"TCGA-A6-2685-01A-01D-1407-05",2
"TCGA-A6-6138-01A-11D-1772-05",4
"TCGA-AY-A8YK-01A-11D-A40X-05",2
"TCGA-AD-6888-01A-11D-1926-05",3
"TCGA-F4-6805-01A-11D-1837-05",2
"TCGA-D5-6530-01A-11D-1721-05",3
"TCGA-DM-A0X9-01A-11D-A153-05",4
"TCGA-CM-6162-01A-11D-1651-05",2
"TCGA-AZ-4323-01A-21D-1837-05",3
"TCGA-AM-5820-01A-01D-1651-05",3
"TCGA-AY-A69D-01A-11D-A36Y-05",1
"TCGA-AD-6964-01A-11D-1926-05",2
"TCGA-A6-2684-01A-01D-A27A-05",3
"TCGA-DM-A1DA-01A-11D-A153-05",4
"TCGA-CM-6678-01A-11D-1837-05",1
"TCGA-A6-A567-01A-31D-A28O-05",2
"TCGA-G4-6299-01A-11D-1772-05",4
"TCGA-CM-5344-01A-21D-1721-05",2
"TCGA-A6-A5ZU-01A-11D-A28O-05",3
"TCGA-F4-6703-01A-11D-1837-05",2
"TCGA-CA-6718-01A-11D-1837-05",4
"TCGA-A6-3810-01A-01D-A27A-05",2
"TCGA-AD-6901-01A-11D-1926-05",4
"TCGA-DM-A1HA-01A-11D-A153-05",4
"TCGA-DM-A1D8-01A-11D-A153-05",4
"TCGA-G4-6625-01A-21D-1772-05",3
"TCGA-AU-3779-01A-01D-1721-05",2
"TCGA-DM-A28M-01A-12D-A16X-05",1
"TCGA-QG-A5YX-01A-11D-A28O-05",3
"TCGA-4N-A93T-01A-11D-A36Y-05",3
"TCGA-A6-6649-01A-11D-1772-05",4
"TCGA-A6-5659-01A-01D-A27A-05",4
"TCGA-G4-6294-01A-11D-1772-05",3
"TCGA-A6-3809-01B-04D-A27A-05",4
"TCGA-D5-6532-01A-11D-1721-05",1
"TCGA-CM-4752-01A-01D-1407-05",3
"TCGA-CM-6675-01A-11D-1837-05",4
"TCGA-CK-6746-01A-11D-1837-05",4
"TCGA-D5-5538-01A-01D-1651-05",1
"TCGA-NH-A6GA-01A-11D-A36Y-05",1
"TCGA-CM-5868-01A-01D-1651-05",2
"TCGA-CA-6717-01A-11D-1837-05",1
"TCGA-CM-4750-01A-01D-1407-05",1
"TCGA-CA-5256-01A-01D-1407-05",3
"TCGA-CK-4948-01B-11D-1651-05",3
"TCGA-4T-AA8H-01A-11D-A40X-05",4
"TCGA-A6-3810-01B-04D-A27A-05",2
"TCGA-A6-5657-01A-01D-1651-05",4
"TCGA-AA-3511-01A-21D-1837-05",3
"TCGA-AA-3492-01A-01D-1407-05",4
"TCGA-AA-3662-01A-01D-1721-05",3
"TCGA-A6-2675-01A-02D-1721-05",2
"TCGA-CK-4947-01B-11D-1651-05",4
"TCGA-D5-6531-01A-11D-1721-05",4
"TCGA-CM-5341-01A-01D-1407-05",4
"TCGA-DM-A28C-01A-11D-A16X-05",3
"TCGA-D5-6533-01A-11D-1721-05",3
"TCGA-CM-4751-01A-02D-1837-05",4
"TCGA-F4-6809-01A-11D-1837-05",1
"TCGA-AZ-6600-01A-11D-1772-05",1
"TCGA-F4-6854-01A-11D-1926-05",1
"TCGA-AY-5543-01A-01D-1651-05",3
"TCGA-F4-6855-01A-11D-1926-05",1
"TCGA-QG-A5YV-01A-11D-A28O-05",1
"TCGA-D5-6926-01A-11D-1926-05",3
"TCGA-CM-6674-01A-11D-1837-05",3
"TCGA-CA-5797-01A-01D-1651-05",2
"TCGA-CK-5914-01A-11D-1651-05",1
"TCGA-A6-6648-01A-11D-1772-05",2
"TCGA-AA-3495-01A-01D-1407-05",4
"TCGA-5M-AAT5-01A-21D-A40X-05",2
"TCGA-A6-6782-01A-11D-1837-05",3
"TCGA-AD-5900-01A-11D-1651-05",4
"TCGA-G4-6293-01A-11D-1721-05",4
"TCGA-NH-A8F7-01A-11D-A40X-05",2
"TCGA-A6-2686-01A-01D-1407-05",4
"TCGA-G4-6298-01A-11D-1721-05",1
"TCGA-AZ-4682-01B-01D-1407-05",2
"TCGA-DM-A1DB-01A-11D-A153-05",3
"TCGA-DM-A280-01A-12D-A16X-05",3
"TCGA-3L-AA1B-01A-11D-A36Y-05",4
"TCGA-AA-3660-01A-01D-1721-05",1
"TCGA-AY-A54L-01A-11D-A28O-05",4
"TCGA-G4-6321-01A-11D-1721-05",4
"TCGA-CM-5861-01A-01D-1651-05",4
"TCGA-DM-A28G-01A-11D-A16X-05",1
"TCGA-A6-5659-01B-04D-A27A-05",4
"TCGA-D5-6929-01A-31D-1926-05",2
"TCGA-G4-6295-01A-11D-1721-05",2
"TCGA-CM-5348-01A-21D-1721-05",1
"TCGA-NH-A8F7-06A-31D-A40X-05",2
"TCGA-G4-6314-01A-11D-1721-05",3
"TCGA-A6-5662-01A-01D-1651-05",2
"TCGA-5M-AAT4-01A-11D-A40X-05",4
"TCGA-F4-6808-01A-11D-1837-05",3
