Participant,hypermut,WNT,TGF-beta,RTK,PI3K,P53,APC,CTNNB1,DKK1,DKK2,DKK3,DKK4,LRP5,FZD10,FAM123B,AXIN2,TCF7L2,FBXW7,ARID1A,SOX9,TGFBR1,TGFBR2,ACVR1B,ACVR2A,SMAD2,SMAD3,SMAD4,IGF2,IRS2,PIK3CA,PIK3R1,PTEN,ERBB2,ERBB3,KRAS,NRAS,BRAF,TP53,ATM
TCGA-AA-3872,0,1,0,1,0,0,MUT,,,,,,,UP,,,,,,,,,,,,,,,,,,,AMP,,,,,,
TCGA-AA-3875,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,UP,,,,,,,,,,MUT,
TCGA-AA-3930,0,1,0,1,0,1,MUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,MUT,,,MUT,
TCGA-AA-3939,0,1,0,1,1,0,MUT,,,,,,,,MUT,,,,,MUT,,,,,,,,,,MUT,,,,,MUT,,,,
TCGA-AA-3952,0,1,0,0,1,0,MUT,,,,,,,,,,,,,,,,,,,,,,,,,HOMDEL,,,,,,,
TCGA-AA-3955,0,1,0,0,0,1,MUT,,,,,,,UP,,,MUT,,,,,,,,,,,,,,,,,,,,,MUT,
TCGA-AA-3956,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,MUT,,,,,,,,MUT,
TCGA-AA-3971,0,1,0,0,0,0,,,,MUT,,,,UP,,,,,,,,,,,,,,,,,,,,,,,,,
TCGA-AA-3972,0,1,0,1,0,1,MUT,,,,,,,,,MUT,,,,,,,,,,,,,,,,,,,,MUT,,MUT,
TCGA-AA-3973,0,1,1,1,1,0,MUT,,,,,,,,,,,,,,,,,,,,MUT,,UP,,,,,,,MUT,,,
TCGA-AA-3975,0,1,0,1,1,1,MUT,,,,,,,UP,,,,,,,,,,,,,,,UP,,,,,,MUT,,,MUT,
TCGA-AA-3976,0,1,0,1,1,1,MUT,,,,,,,,,,,,,,,,,,,,,UP,,,,,,MUT,,MUT,,MUT,
TCGA-AA-3979,0,1,0,1,0,1,MUT,,,,,,,,,,,,,MUT,,,,,,,,,,,,,,,MUT,,,MUT,
TCGA-AA-3986,0,1,0,1,1,0,HOMDEL,,,,,,,UP,,,,,,,,,,,,,,UP,,,,,,,MUT,,,,
TCGA-AA-3989,0,1,0,0,1,0,MUT,,,,,,,,,,,,,MUT,,,,,,,,AMP and UP,,,,,,,,,,,
TCGA-AA-3994,0,1,1,1,0,0,MUT,,,,,,,,,,,,,,,,MUT,,,,,,,,,,AMP and MUT,,MUT,,,,
TCGA-AA-A004,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MUT,
